Site name,File granularity,URL template,Outfile template,Overwrite Policy,Max history,Ignore?,Source
Viewbank,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3093.%Y%m.csv,bom daily/Viewbank/IDCJDW3093.%Y%m.csv,Refresh current month,15m,,
Walpeup,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3080.%Y%m.csv,bom daily/Walpeup/IDCJDW3080.%Y%m.csv,Refresh current month,15m,,
Wangaratta,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3081.%Y%m.csv,bom daily/Wangaratta/IDCJDW3081.%Y%m.csv,Refresh current month,15m,,
Warracknabeal,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3082.%Y%m.csv,bom daily/Warracknabeal/IDCJDW3082.%Y%m.csv,Refresh current month,15m,,
Warrnambool,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3083.%Y%m.csv,bom daily/Warrnambool/IDCJDW3083.%Y%m.csv,Refresh current month,15m,,
Watsonia,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3079.%Y%m.csv,bom daily/Watsonia/IDCJDW3079.%Y%m.csv,Refresh current month,15m,,
Westmere,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3094.%Y%m.csv,bom daily/Westmere/IDCJDW3094.%Y%m.csv,Refresh current month,15m,,
Willow Grove,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3100.%Y%m.csv,bom daily/Willow Grove/IDCJDW3100.%Y%m.csv,Refresh current month,15m,,
Wilsons Promontory,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3085.%Y%m.csv,bom daily/Wilsons Promontory/IDCJDW3085.%Y%m.csv,Refresh current month,15m,,
Wonthaggi,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3086.%Y%m.csv,bom daily/Wonthaggi/IDCJDW3086.%Y%m.csv,Refresh current month,15m,,
Yanakie,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3103.%Y%m.csv,bom daily/Yanakie/IDCJDW3103.%Y%m.csv,Refresh current month,15m,,
Yarram,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3098.%Y%m.csv,bom daily/Yarram/IDCJDW3098.%Y%m.csv,Refresh current month,15m,,
Yarrawonga,Month,http://www.bom.gov.au/climate/dwo/%Y%m/text/IDCJDW3087.%Y%m.csv,bom daily/Yarrawonga/IDCJDW3087.%Y%m.csv,Refresh current month,15m,,
